Model,Scenario,Mean_error,Std_Loss,Spatial_Res,Temporal_Res,Amount of samples
FNO,Standard (Train),0.009182136505842209,0.0,128,100,32
FNO,Low Viscosity (Stiff),0.09366140514612198,0.0,128,100,32
FNO,Extreme Low Viscosity,0.10961847007274628,0.0,128,100,32
FNO,High Viscosity,0.2177174985408783,0.0,128,100,32
FNO,Larger Amplitude Scale (x1.5),0.021049771457910538,0.0,128,100,32
FNO,Smaller Amplitude Scale (x0.5),0.011117304675281048,0.0,128,100,32
FNO,High Complexity Initial,0.19767150282859802,0.0,128,100,32
FNO,Smooth Initial Condition,0.008096251636743546,0.0,128,100,32
FNO,ZeroShot Spatial SuperRes,0.06367738544940948,0.0,256,100,32
FNO,ZeroShot Temporal SuperRes (nt=200),0.05411926284432411,0.0,128,200,32
FNO,ZeroShot Full SuperRes,0.09513922035694122,0.0,256,200,32
FNO,Temporal Extrapolation (tmax=2.0),0.22483375668525696,0.0,128,200,32
FNO,Long-term Extrapolation (tmax=5.0),0.5823763608932495,0.0,128,200,32
PINO,Standard (Train),0.009752299636602402,0.0,128,100,32
PINO,Low Viscosity (Stiff),0.10539086163043976,0.0,128,100,32
PINO,Extreme Low Viscosity,0.12013806402683258,0.0,128,100,32
PINO,High Viscosity,0.24609529972076416,0.0,128,100,32
PINO,Larger Amplitude Scale (x1.5),0.019971657544374466,0.0,128,100,32
PINO,Smaller Amplitude Scale (x0.5),0.008687884546816349,0.0,128,100,32
PINO,High Complexity Initial,0.18457475304603577,0.0,128,100,32
PINO,Smooth Initial Condition,0.006844310089945793,0.0,128,100,32
PINO,ZeroShot Spatial SuperRes,0.054966382682323456,0.0,256,100,32
PINO,ZeroShot Temporal SuperRes (nt=200),0.05738959088921547,0.0,128,200,32
PINO,ZeroShot Full SuperRes,0.08909766376018524,0.0,256,200,32
PINO,Temporal Extrapolation (tmax=2.0),0.21662107110023499,0.0,128,200,32
PINO,Long-term Extrapolation (tmax=5.0),0.539107620716095,0.0,128,200,32
