Model,Scenario,Mean_error,Std_Loss,Resolution,Amount of samples
FNO,Standard (Train),0.014826898725004867,0.002955203478969954,128,32
FNO,Smaller range within training range,0.2562371976673603,0.06663403496478226,128,32
FNO,Larger range around training range,,,128,32
FNO,light underflow,0.8691612835973501,0.017513452566719212,128,32
FNO,light overflow,0.45670171082019806,0.06563085566627391,128,32
FNO,light below training (Clay),0.743399865925312,0.03478301564562142,128,32
FNO,Medium below training (Clay),0.996051924303174,0.0010378931595283686,128,32
FNO,Extreme Clay,0.9999996796250343,7.261927682764056e-08,128,32
FNO,smaller visosity (0.5),0.2720808028243482,0.05854067599567528,128,32
FNO,larger visosity (2),0.40006077755242586,0.05920350142402833,128,32
FNO,Medium Flow gravel,0.2896858607418835,0.04816349774897398,128,32
FNO,High Flow Gravel,0.6694205291569233,0.07930837143841801,128,32
FNO,High Complexity,0.05668831238290295,0.023514040731167075,128,32
FNO,ZeroShot_SuperRes_128,0.2689319886267185,0.006668415105003776,256,32
FNO,ZeroShot_SuperRes_256,0.5860379282385111,0.020186682934049602,512,32
PINO,Standard (Train),0.022228319896385074,0.004629057988369282,128,32
PINO,Smaller range within training range,0.30428939405828714,0.07014463678352471,128,32
PINO,Larger range around training range,,,128,32
PINO,light underflow,0.8552198279649019,0.016827014708166492,128,32
PINO,light overflow,0.44606167916208506,0.07623011428313779,128,32
PINO,light below training (Clay),0.7174952328205109,0.03151012491004088,128,32
PINO,Medium below training (Clay),0.9958584606647491,0.0009773961227583024,128,32
PINO,Extreme Clay,0.9999996516853571,8.574239378037978e-08,128,32
PINO,smaller visosity (0.5),0.32231138832867146,0.06358459926997867,128,32
PINO,larger visosity (2),0.3496690150350332,0.06164762819118514,128,32
PINO,Medium Flow gravel,0.2588582122698426,0.03145047995428851,128,32
PINO,High Flow Gravel,0.36403381265699863,0.02196457171294247,128,32
PINO,High Complexity,0.06599144142819569,0.026089790522121573,128,32
PINO,ZeroShot_SuperRes_128,0.1925331554375589,0.0036462566745679116,256,32
PINO,ZeroShot_SuperRes_256,0.49799503665417433,0.014931374330600782,512,32
