Model,Scenario,Mean_error,Std_Loss,Resolution,Amount of samples
FNO,Standard (Train),0.03061601595254615,0.007400191170091666,64,32
FNO,light Clay,0.9732184316962957,0.004607615587939809,64,32
FNO,Medium Clay,0.9972225204110146,0.0005473584204410451,64,32
FNO,Extreme Clay,0.9999996982514858,8.551955434120444e-08,64,32
FNO,Medium Flow gravel,0.17891792161390185,0.009540714995844012,64,32
FNO,High Flow Gravel,1.111719038337469,0.19115737161595814,64,32
FNO,High Complexity,0.04651516623562202,0.014345672338840933,64,32
FNO,ZeroShot_SuperRes_128,0.40046847704797983,0.014973362273072307,128,32
FNO,ZeroShot_SuperRes_256,0.5243646707385778,0.016951479794045793,256,32
PINO,Standard (Train),0.019933714502258226,0.00340458459198575,64,32
PINO,light Clay,0.9659578893333673,0.007001060601796279,64,32
PINO,Medium Clay,0.9966420792043209,0.0006446882714629308,64,32
PINO,Extreme Clay,0.9999996665865183,7.865128044306268e-08,64,32
PINO,Medium Flow gravel,0.25595841323956847,0.036081462214744564,64,32
PINO,High Flow Gravel,0.4521371256560087,0.023411932141771376,64,32
PINO,High Complexity,0.04179337521782145,0.010621628579791717,64,32
PINO,ZeroShot_SuperRes_128,0.3340566297993064,0.021712894923413672,128,32
PINO,ZeroShot_SuperRes_256,0.4522561989724636,0.022961139387182725,256,32
